"archive_path","uncompressed_bytes","compressed_bytes","extension","crc32","review_required","review_reasons"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/stage2_weights.pt","7335145","5835699",".pt","","True","review_extension:.pt;large_file;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/stage3_switches_normal.json","363","56",".json","","True","review_extension:.json;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/stage3_switches_reduce.json","363","65",".json","","True","review_extension:.json;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/stage3_weights.pt","4565037","3674551",".pt","","True","review_extension:.pt;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n6__seed0__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251218-175711/arch_probs_final_normal.npy","576","258",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n6__seed0__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251218-175711/arch_probs_final_reduce.npy","576","257",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n6__seed0__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251218-175711/arch_probs_stage1_normal_global.npy","576","466",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n6__seed0__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251218-175711/arch_probs_stage1_normal_local.npy","576","466",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n6__seed0__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251218-175711/arch_probs_stage1_reduce_global.npy","576","524",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n6__seed0__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251218-175711/arch_probs_stage1_reduce_local.npy","576","524",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n6__seed0__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251218-175711/arch_probs_stage2_normal_global.npy","576","389",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n6__seed0__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251218-175711/arch_probs_stage2_normal_local.npy","408","361",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n6__seed0__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251218-175711/arch_probs_stage2_reduce_global.npy","576","388",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n6__seed0__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251218-175711/arch_probs_stage2_reduce_local.npy","408","360",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n6__seed0__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251218-175711/arch_probs_stage3_normal_global.npy","576","280",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n6__seed0__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251218-175711/arch_probs_stage3_normal_local.npy","296","247",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n6__seed0__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251218-175711/arch_probs_stage3_reduce_global.npy","576","277",".npy","","True","review_extension:.npy;generated_or_historical_output"
